"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_20~29세","2023년10월_남_30~39세","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_20~29세","2023년10월_여_30~39세"
"전국  (0000000000)","51,354,226","12,816,612","6,234,041","6,582,571","25,582,773","6,680,206","3,257,829","3,422,377","25,771,453","6,136,406","2,976,212","3,160,194"
"서울특별시  (1100000000)","9,400,249","2,792,544","1,364,332","1,428,212","4,548,150","1,362,308","648,072","714,236","4,852,099","1,430,236","716,260","713,976"
"부산광역시  (2600000000)","3,298,213","772,705","380,538","392,167","1,608,156","397,572","195,524","202,048","1,690,057","375,133","185,014","190,119"
"대구광역시  (2700000000)","2,376,978","565,023","284,674","280,349","1,168,087","299,485","150,222","149,263","1,208,891","265,538","134,452","131,086"
"인천광역시  (2800000000)","2,990,276","776,503","365,545","410,958","1,495,744","403,972","189,899","214,073","1,494,532","372,531","175,646","196,885"
"광주광역시  (2900000000)","1,421,760","367,126","192,397","174,729","702,121","190,511","100,430","90,081","719,639","176,615","91,967","84,648"
"대전광역시  (3000000000)","1,443,965","388,409","200,422","187,987","720,207","204,138","104,890","99,248","723,758","184,271","95,532","88,739"
"울산광역시  (3100000000)","1,104,031","260,681","123,202","137,479","567,309","144,405","69,962","74,443","536,722","116,276","53,240","63,036"
"세종특별자치시  (3600000000)","386,079","97,302","37,753","59,549","192,299","48,522","19,190","29,332","193,780","48,780","18,563","30,217"
"경기도  (4100000000)","13,627,840","3,569,632","1,691,024","1,878,608","6,855,616","1,869,409","890,429","978,980","6,772,224","1,700,223","800,595","899,628"
"강원특별자치도  (5100000000)","1,529,500","323,141","164,471","158,670","769,433","176,859","92,194","84,665","760,067","146,282","72,277","74,005"
"충청북도  (4300000000)","1,594,211","370,578","182,961","187,617","810,820","204,012","101,453","102,559","783,391","166,566","81,508","85,058"
"충청남도  (4400000000)","2,128,563","477,582","226,198","251,384","1,090,461","262,226","125,844","136,382","1,038,102","215,356","100,354","115,002"
"전라북도  (4500000000)","1,757,295","365,487","192,071","173,416","874,659","194,299","104,154","90,145","882,636","171,188","87,917","83,271"
"전라남도  (4600000000)","1,805,823","348,813","178,966","169,847","910,179","189,802","100,293","89,509","895,644","159,011","78,673","80,338"
"경상북도  (4700000000)","2,558,085","510,388","249,717","260,671","1,292,163","284,303","142,978","141,325","1,265,922","226,085","106,739","119,346"
"경상남도  (4800000000)","3,255,239","677,738","325,137","352,601","1,638,978","369,004","182,525","186,479","1,616,261","308,734","142,612","166,122"
"제주특별자치도  (5000000000)","676,119","152,960","74,633","78,327","338,391","79,379","39,770","39,609","337,728","73,581","34,863","38,718"
